Age,Income,LoanAmount,CreditScore,MonthsEmployed,NumCreditLines,InterestRate,LoanTerm,DTIRatio,HasMortgage,HasDependents,HasCoSigner,Default,LoanToIncome,EmploymentYears,CreditRisk,Education_high school,Education_master's,Education_phd,EmploymentType_part-time,EmploymentType_self-employed,EmploymentType_unemployed,MaritalStatus_married,MaritalStatus_single,LoanPurpose_business,LoanPurpose_education,LoanPurpose_home,LoanPurpose_other,InterestLevel_medium,InterestLevel_high,DTIBucket_medium,DTIBucket_high,DTIBucket_extreme,y_true,y_pred,cluster
50,19525,240222,350,110,3,2.11,48,0.66,1,0,1,0,12.30330346,9.166666667,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,18
69,123730,170346,763,12,2,24.67,60,0.44,1,0,1,0,1.376755839,1.0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,46
29,139583,30416,764,95,3,10.35,12,0.37,0,0,1,0,0.217906192,7.916666667,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,42
32,121208,14541,493,61,4,19.37,36,0.62,1,0,1,0,0.119967329,5.083333333,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,36
24,145874,91905,454,3,3,8.02,24,0.79,0,1,1,0,0.630030026,0.25,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,19
44,101764,131906,611,14,1,5.0,36,0.24,1,0,0,0,1.296195118,1.166666667,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,43
40,131846,33912,309,42,4,6.14,24,0.86,0,0,1,0,0.257209168,3.5,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16
21,106264,202682,557,33,4,21.14,24,0.13,1,0,1,1,1.907343973,2.75,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,39
43,61227,148424,824,75,1,6.81,24,0.73,0,1,0,0,2.424159276,6.25,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,37
60,129653,209284,557,100,1,24.99,24,0.85,0,1,1,0,1.614185557,8.333333333,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,24
25,59521,219318,732,69,4,6.59,60,0.74,1,0,1,0,3.684716319,5.75,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,15
50,28122,227783,663,75,4,15.2,36,0.52,0,1,1,1,8.099815091,6.25,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,38
64,115767,36290,395,65,4,8.6,48,0.36,1,0,1,0,0.313474479,5.416666667,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
19,85943,29888,824,115,3,21.03,48,0.26,1,1,0,1,0.347765379,9.583333333,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,1,33
66,44022,87668,666,111,4,10.17,60,0.1,1,0,0,0,1.991458816,9.25,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,15
67,69787,180100,509,68,1,17.85,36,0.11,1,0,0,0,2.580709874,5.666666667,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,29
60,72107,23471,693,62,2,2.64,48,0.46,1,1,1,0,0.325502378,5.166666667,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,22
40,101645,104464,555,91,2,17.33,60,0.71,1,1,0,1,1.027733779,7.583333333,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,17
57,98601,166211,468,67,2,5.93,60,0.11,1,1,0,0,1.685692843,5.583333333,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,49
25,23958,198448,335,29,1,7.44,24,0.55,1,0,0,0,8.283162201,2.416666667,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,49
39,15008,105719,705,116,3,17.57,36,0.41,1,1,0,0,7.044176439,9.666666667,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,33
67,134458,101281,846,35,2,8.27,48,0.69,1,1,1,0,0.753253804,2.916666667,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,22
40,22787,178701,569,106,2,5.44,24,0.28,0,1,0,0,7.842234607,8.833333333,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,32
64,83450,134733,416,97,1,20.91,60,0.7,1,0,0,0,1.61453565,8.083333333,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1
46,81695,69706,359,109,4,15.61,24,0.27,1,0,1,0,0.853246833,9.083333333,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,19
49,87781,28817,366,45,4,7.59,12,0.35,1,0,0,0,0.328282886,3.75,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,3
46,24691,188309,565,8,2,10.26,12,0.43,0,0,0,0,7.626625086,0.666666667,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,5
55,139060,77513,560,113,3,4.25,36,0.6,0,1,0,0,0.557406875,9.416666667,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,7
44,67945,154015,591,77,1,23.32,24,0.61,1,0,0,0,2.266759879,6.416666667,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,24
19,37676,220685,679,33,2,15.78,36,0.26,1,0,0,1,5.857442404,2.75,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,13
24,136109,182956,773,87,1,23.4,12,0.15,1,1,0,0,1.344187379,7.25,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,8
44,38426,32469,300,43,2,8.15,12,0.14,0,0,0,0,0.844974757,3.583333333,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,19
29,29195,222009,677,74,4,21.22,24,0.52,1,1,0,0,7.60435006,6.166666667,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,34
43,24816,201849,421,118,3,21.8,24,0.72,0,1,0,0,8.133824952,9.833333333,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1
39,68098,47861,848,71,1,4.91,24,0.62,1,0,1,0,0.70282534,5.916666667,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,12
37,21310,238482,557,111,2,19.54,48,0.12,0,1,1,0,11.191084,9.25,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,28
58,134014,208119,778,16,4,14.96,24,0.58,0,0,0,0,1.552964616,1.333333333,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,40
68,77123,176072,604,100,2,19.45,36,0.59,0,1,1,1,2.283002477,8.333333333,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,33
64,25846,94096,446,19,2,19.25,48,0.22,1,0,1,1,3.640640718,1.583333333,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,28
60,78923,169112,663,79,4,14.15,12,0.41,1,1,0,0,2.142746728,6.583333333,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,20
33,67993,249374,363,64,1,20.18,48,0.67,1,0,0,0,3.667642257,5.333333333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,29
36,25987,79882,775,87,1,21.1,60,0.73,1,1,0,1,3.073921576,7.25,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,1,33
28,64716,48531,364,26,2,5.43,60,0.48,0,1,1,0,0.749907287,2.166666667,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,15
68,137337,58517,775,59,3,23.38,60,0.39,0,1,0,0,0.426083284,4.916666667,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,10
30,134104,31774,417,22,3,10.68,24,0.69,1,0,1,0,0.236935513,1.833333333,1,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,3
55,104503,71135,747,116,1,3.34,12,0.5,1,0,0,0,0.680698162,9.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
61,103576,86423,377,67,1,8.86,24,0.54,0,0,1,0,0.834392137,5.583333333,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2
24,126466,81625,456,74,2,2.12,12,0.32,0,1,0,0,0.645430392,6.166666667,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,38
30,82909,139323,425,75,3,16.13,60,0.74,1,0,1,0,1.680432764,6.25,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,11
21,57100,175087,447,54,3,22.58,60,0.84,1,0,1,0,3.066322242,4.5,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
35,131009,131006,671,49,2,17.92,12,0.69,1,1,1,0,0.999977101,4.083333333,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,33
28,68031,232036,365,3,3,19.55,24,0.63,1,0,1,1,3.410739222,0.25,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,39
32,83625,145628,638,80,4,14.61,48,0.82,1,1,0,0,1.741440957,6.666666667,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,13
67,73707,119600,555,58,4,17.32,36,0.7,1,0,0,0,1.622640997,4.833333333,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,36
60,130552,122464,602,25,4,10.41,60,0.15,1,0,1,0,0.938047674,2.083333333,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,4
67,137303,52128,448,45,1,11.57,36,0.41,0,1,0,0,0.379656672,3.75,1,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,11
55,50196,78604,731,36,2,16.02,48,0.19,1,1,0,0,1.565941509,3.0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,31
44,83247,66864,471,52,4,24.42,36,0.68,0,0,0,0,0.803200115,4.333333333,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,48
51,18377,38094,603,113,1,14.1,24,0.4,1,1,1,0,2.072917233,9.416666667,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,20
56,127854,214532,805,0,3,6.06,60,0.14,0,0,0,0,1.677945156,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4
30,50382,231125,406,53,1,2.35,48,0.46,1,1,0,0,4.587451868,4.416666667,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9
63,85759,48351,672,89,1,9.05,48,0.82,1,0,0,0,0.563800884,7.416666667,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,22
24,75618,94145,428,49,1,11.54,60,0.48,0,1,0,1,1.245007802,4.083333333,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,5
56,122352,111256,468,86,3,7.09,36,0.56,1,1,0,0,0.909310841,7.166666667,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19
50,57612,226672,581,21,1,3.31,60,0.35,1,0,1,0,3.934458099,1.75,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,18
39,140339,27374,366,43,1,10.0,36,0.51,0,1,1,1,0.195056257,3.583333333,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,31
29,30044,197588,762,25,2,14.92,24,0.59,1,0,1,0,6.576620956,2.083333333,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,40
63,149776,244436,783,34,2,17.39,48,0.33,0,0,0,0,1.632010469,2.833333333,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,8
43,136756,93225,514,85,1,6.68,36,0.85,1,1,1,0,0.681688555,7.083333333,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,41
19,131034,14326,829,64,4,6.39,48,0.17,0,1,1,0,0.109330403,5.333333333,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,15
69,84973,77233,525,57,3,4.93,36,0.8,0,1,1,0,0.908912243,4.75,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,41
26,71710,126126,742,8,3,8.56,12,0.64,0,1,1,0,1.758834193,0.666666667,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,22
44,74769,190887,321,117,2,24.63,60,0.32,1,1,0,0,2.553023312,9.75,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,29
42,139264,159969,787,72,4,20.02,48,0.32,0,1,0,1,1.14867446,6.0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,6
27,112358,119662,443,51,1,11.24,12,0.46,1,1,0,0,1.065006497,4.25,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,19
45,108871,144674,523,105,3,18.57,60,0.19,0,0,1,0,1.328857088,8.75,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,17
48,32104,242668,431,35,4,12.45,12,0.41,1,1,1,0,7.558808871,2.916666667,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,35
62,147198,19443,729,57,2,12.34,36,0.24,0,0,1,0,0.132087392,4.75,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,38
47,140834,186349,848,2,2,3.09,48,0.23,0,0,1,0,1.323181902,0.166666667,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,44
50,50124,53434,811,60,4,10.78,12,0.72,0,0,1,0,1.06603623,5.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,13
56,114936,90070,341,89,2,21.92,12,0.64,0,1,0,0,0.783653512,7.416666667,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,24
55,102369,177767,568,1,3,11.44,12,0.27,0,1,0,1,1.736531567,0.083333333,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,41
44,115901,30975,358,3,3,17.91,24,0.57,0,1,0,0,0.267253949,0.25,1,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,29
66,147826,161222,773,119,4,23.78,48,0.45,0,0,1,0,1.090620053,9.916666667,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,34
35,135098,115634,797,111,2,21.8,24,0.75,0,0,1,0,0.855926809,9.25,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,6
29,106900,101879,507,54,1,22.31,36,0.86,1,1,0,0,0.95303087,4.5,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,46
49,82246,174574,621,118,2,10.31,12,0.87,0,1,0,0,2.122583469,9.833333333,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,38
68,69946,238147,363,15,1,24.07,60,0.61,1,0,0,0,3.404726503,1.25,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,48
41,34457,183560,426,8,1,20.42,12,0.17,0,0,0,0,5.327219433,0.666666667,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,29
69,20712,134432,801,87,4,16.61,60,0.36,1,1,1,0,6.490536887,7.25,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,20
47,57649,226862,759,114,1,22.79,12,0.79,0,1,0,0,3.935228712,9.5,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,23
30,74269,196570,403,78,3,6.6,36,0.7,0,1,0,0,2.64673013,6.5,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
60,133504,34601,849,8,1,4.73,60,0.23,0,0,1,0,0.259175755,0.666666667,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,25
54,27929,90863,350,63,3,14.46,48,0.28,0,1,0,0,3.253356726,5.25,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,14
46,90551,53521,556,43,3,16.24,60,0.78,1,1,1,0,0.591059182,3.583333333,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,41
48,70580,138030,652,36,4,11.46,60,0.75,0,0,1,0,1.95565316,3.0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,12
44,130391,239603,821,118,3,7.39,48,0.63,0,0,0,0,1.837573145,9.833333333,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,47
40,60010,81131,679,11,2,13.92,12,0.63,1,0,1,0,1.351958007,0.916666667,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,42
67,17717,92751,627,103,1,19.5,12,0.56,1,0,1,0,5.23514139,8.583333333,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,34
18,128301,233842,792,102,3,17.26,24,0.34,0,1,0,0,1.822604656,8.5,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,43
61,123610,220232,510,78,3,7.54,48,0.52,1,1,1,0,1.78166815,6.5,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3
51,61026,113736,363,80,4,24.2,36,0.44,0,0,0,0,1.863730213,6.666666667,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,29
19,61221,159134,699,26,3,9.54,36,0.61,1,1,1,1,2.599336829,2.166666667,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,25
59,135977,190650,739,82,4,11.97,12,0.38,0,1,0,0,1.402075351,6.833333333,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,44
47,63678,125410,518,23,4,14.13,48,0.77,0,0,1,1,1.969439995,1.916666667,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,1,16
31,66029,223210,776,102,4,17.39,12,0.15,0,0,1,0,3.380484333,8.5,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,46
64,108421,18062,623,26,3,20.88,60,0.71,0,0,1,0,0.166591343,2.166666667,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10
36,103412,124189,771,117,3,23.48,60,0.48,0,1,0,0,1.200914787,9.75,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,8
46,50344,224675,849,100,1,20.18,24,0.83,0,1,1,0,4.462795964,8.333333333,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,6
22,55262,214429,368,81,2,21.35,12,0.59,1,1,1,1,3.880225109,6.75,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,1,33
52,81819,75669,650,62,4,6.05,36,0.66,0,1,1,0,0.924834085,5.166666667,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12
21,124679,210362,309,37,2,9.15,24,0.51,1,1,1,0,1.687228804,3.083333333,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,16
48,110365,104513,467,31,1,17.91,60,0.11,1,1,1,1,0.946975943,2.583333333,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,28
65,119183,136009,836,38,4,17.17,48,0.49,0,0,1,0,1.141177853,3.166666667,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,4
61,17381,244872,566,51,4,15.2,24,0.62,0,0,0,1,14.08848743,4.25,1,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,1,35
21,20991,90163,698,68,3,24.46,24,0.52,0,1,1,1,4.295317041,5.666666667,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,26
56,69778,31294,637,15,4,16.76,36,0.17,0,1,1,0,0.448479463,1.25,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,4
28,101360,114921,755,23,2,10.59,60,0.11,0,1,0,0,1.13379045,1.916666667,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,37
30,80736,112126,610,94,4,10.62,12,0.61,0,1,0,0,1.388798058,7.833333333,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,47
49,58677,145479,600,7,1,16.54,48,0.35,0,1,0,0,2.479318984,0.583333333,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,44
30,145495,51056,343,32,3,15.43,24,0.58,1,0,0,0,0.350912402,2.666666667,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,9
44,121794,186064,659,67,3,24.84,48,0.3,0,0,1,0,1.527694303,5.583333333,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,6
60,67545,145632,821,62,4,12.6,36,0.21,1,0,1,0,2.156073729,5.166666667,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,15
27,124965,212223,309,81,2,20.81,24,0.16,0,1,1,0,1.698259513,6.75,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,28
47,131289,231595,725,91,1,8.28,24,0.28,0,1,1,0,1.764009171,7.583333333,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,27
31,45118,79570,800,17,4,17.41,12,0.84,0,0,1,0,1.763597677,1.416666667,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,33
56,133835,94208,656,91,1,7.73,24,0.47,1,1,1,0,0.703911533,7.583333333,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,42
47,24054,74412,661,46,3,23.49,60,0.7,1,0,1,0,3.093539536,3.833333333,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,6
33,36565,155209,656,86,4,24.87,36,0.28,1,0,1,0,4.24474224,7.166666667,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10
23,40557,211181,794,7,1,10.98,60,0.53,0,0,0,0,5.207017284,0.583333333,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,47
