Age,Income,LoanAmount,CreditScore,MonthsEmployed,NumCreditLines,InterestRate,LoanTerm,DTIRatio,HasMortgage,HasDependents,HasCoSigner,LoanToIncome,EmploymentYears,CreditRisk,Education_high school,Education_master's,Education_phd,EmploymentType_part-time,EmploymentType_self-employed,EmploymentType_unemployed,MaritalStatus_married,MaritalStatus_single,LoanPurpose_business,LoanPurpose_education,LoanPurpose_home,LoanPurpose_other,InterestLevel_medium,InterestLevel_high,DTIBucket_medium,DTIBucket_high,DTIBucket_extreme,Default,prediction,cluster
53,17617,211499,821,52,3,22.42,12,0.14,1,0,0,12.00539252,4.333333333,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,39
27,56358,132441,701,19,2,9.38,24,0.35,0,0,0,2.349994677,1.583333333,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,7
59,103113,232303,484,46,1,4.28,48,0.23,1,0,1,2.252897307,3.833333333,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,42
37,34485,122420,341,8,4,20.94,60,0.89,0,1,1,3.549949253,0.666666667,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,15
55,90367,200991,836,20,4,19.92,36,0.27,0,0,0,2.224163688,1.666666667,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,49
60,45591,103489,420,83,2,15.32,24,0.17,0,1,0,2.269943629,6.916666667,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,12
18,32615,198582,526,28,2,18.69,60,0.25,0,1,0,6.088670857,2.333333333,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1,46
18,94823,30114,403,118,1,6.65,36,0.69,0,0,0,0.317581178,9.833333333,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,3
48,105321,249811,784,88,1,9.76,60,0.47,1,1,0,2.37190114,7.333333333,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,38
62,16783,208862,658,59,4,20.8,36,0.8,1,1,1,12.44485491,4.916666667,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,33
43,66705,227420,552,3,3,7.17,12,0.26,0,1,1,3.40933963,0.25,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,8
48,70678,149985,774,118,1,9.55,36,0.89,1,0,0,2.12208891,9.833333333,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,18
61,16849,233229,543,108,1,12.99,36,0.57,1,0,1,13.84230518,9.0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,3
44,72861,137847,800,29,2,23.58,48,0.17,1,1,1,1.891917487,2.416666667,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1
53,118129,202985,532,110,3,2.05,24,0.13,0,0,0,1.718333347,9.166666667,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,35
58,92761,103646,537,50,3,18.11,60,0.58,1,0,0,1.117344574,4.166666667,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,21
43,75932,125935,462,100,3,23.42,24,0.12,1,0,0,1.658523416,8.333333333,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,25
42,62000,108621,559,68,2,19.14,60,0.6,1,0,1,1.751951613,5.666666667,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,26
38,62861,233196,483,18,4,10.76,48,0.29,1,1,0,3.709708722,1.5,1,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,13
22,15876,216701,640,60,3,11.42,36,0.28,1,1,0,13.64959688,5.0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,12
28,26221,176709,364,94,4,10.81,36,0.74,0,0,0,6.739216658,7.833333333,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,17
46,33957,232471,645,2,1,11.59,12,0.47,0,1,0,6.846040581,0.166666667,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,11
20,72875,174278,329,89,2,20.09,60,0.26,0,0,0,2.391464837,7.416666667,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,46
31,122986,167666,544,47,1,20.01,12,0.79,1,0,0,1.363293383,3.916666667,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,25
45,50029,147571,609,25,3,9.97,60,0.45,0,0,1,2.949709169,2.083333333,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,1,43
53,87315,139843,328,64,2,21.27,60,0.75,0,0,1,1.601591937,5.333333333,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,1,29
59,107787,156690,824,118,1,23.35,48,0.89,0,1,0,1.453700353,9.833333333,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,45
36,73948,234970,579,71,3,24.62,48,0.32,0,1,1,3.17750311,5.916666667,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,1,10
50,64166,153053,647,14,3,9.86,12,0.44,1,0,1,2.38526634,1.166666667,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,38
62,80118,104642,445,42,1,21.53,24,0.53,0,1,1,1.306098505,3.5,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,46
29,126516,84948,761,109,2,9.97,24,0.18,1,1,0,0.671440766,9.083333333,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,19
52,44036,121288,579,50,2,18.65,36,0.22,0,0,0,2.754291943,4.166666667,1,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,34
24,25433,25859,683,88,3,9.53,36,0.36,1,1,0,1.016749892,7.333333333,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,11
48,111645,140938,444,112,2,7.76,60,0.49,0,1,0,1.262376282,9.333333333,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2
38,75455,97457,590,75,1,24.9,12,0.85,0,0,1,1.291591015,6.25,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,5
36,88113,114752,770,100,4,5.19,36,0.2,1,1,1,1.302327693,8.333333333,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11
21,37233,38829,471,98,3,22.37,36,0.11,0,1,1,1.0428652,8.166666667,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,21
45,143193,169590,551,42,4,9.93,48,0.27,1,0,0,1.184345603,3.5,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,32
21,120345,180845,376,37,2,23.09,48,0.23,0,0,1,1.502721343,3.083333333,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,7
62,70638,202153,327,68,3,23.53,12,0.25,0,1,1,2.861816586,5.666666667,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,25
42,33810,177740,618,61,4,22.51,48,0.1,1,1,0,5.257024549,5.083333333,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,45
50,128687,23006,842,20,2,2.19,12,0.41,0,1,1,0.178774857,1.666666667,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,11
33,32793,51173,647,70,4,21.1,36,0.49,0,1,0,1.560485469,5.833333333,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,45
51,28375,144908,585,101,3,19.44,24,0.39,0,0,1,5.106889868,8.416666667,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,26
56,142388,200461,675,0,3,23.82,36,0.66,0,0,1,1.407850381,0.0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,49
47,25175,92656,340,115,4,7.66,24,0.64,0,1,1,3.680476663,9.583333333,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3
33,23899,114005,620,106,1,7.84,12,0.54,1,0,0,4.770283275,8.833333333,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,47
20,140829,156215,406,74,2,3.66,24,0.17,0,1,0,1.109253066,6.166666667,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3
36,30897,242598,341,32,4,12.89,36,0.22,0,1,0,7.851830275,2.666666667,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,41
25,22093,126105,517,12,3,15.13,60,0.78,0,1,1,5.707916535,1.0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,17
28,39380,214450,546,10,2,22.05,12,0.32,0,1,1,5.445657694,0.833333333,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,29
28,34732,48987,497,28,4,10.34,36,0.12,1,1,0,1.410428423,2.333333333,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,27
64,119596,215134,730,58,2,15.27,36,0.25,1,1,0,1.798839426,4.833333333,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,31
62,140869,24728,783,103,4,13.62,48,0.57,0,0,0,0.175538976,8.583333333,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,47
33,85043,183757,374,81,2,13.72,60,0.57,1,1,0,2.160753972,6.75,1,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,27
68,74583,131340,701,33,4,19.97,48,0.42,1,0,0,1.760991111,2.75,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,49
24,90603,211591,619,84,1,20.26,60,0.46,0,0,0,2.335364171,7.0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,39
67,48510,124038,736,56,3,22.18,48,0.37,1,0,1,2.556957328,4.666666667,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,48
52,128330,181977,337,20,4,15.0,36,0.43,0,1,0,1.41803943,1.666666667,1,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,41
41,146670,147156,331,79,1,20.04,24,0.58,0,1,1,1.003313561,6.583333333,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,25
54,77137,187132,580,92,3,8.84,36,0.46,0,0,0,2.425969379,7.666666667,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,40
30,62884,144136,546,26,2,2.38,24,0.22,0,1,1,2.292093378,2.166666667,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,20
23,104539,161036,529,45,3,7.56,60,0.66,0,0,1,1.540439453,3.75,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,42
60,53684,29150,711,93,4,19.13,36,0.58,1,1,0,0.542992325,7.75,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,49
58,83458,49338,525,2,2,16.11,60,0.3,1,0,0,0.591171607,0.166666667,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,40
41,24778,142365,672,22,2,19.67,60,0.69,1,0,0,5.745621116,1.833333333,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,1,48
21,148736,98583,440,103,2,2.76,48,0.47,1,1,1,0.662805239,8.583333333,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,8
21,120795,209964,818,63,1,23.59,24,0.83,0,1,1,1.738184528,5.25,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,7
20,136353,246608,524,60,1,23.45,36,0.14,0,1,0,1.808599737,5.0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,21
19,28832,165189,385,105,4,24.96,12,0.13,0,1,0,5.729363208,8.75,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,5
23,88339,151816,557,75,4,12.96,12,0.85,0,0,1,1.718561451,6.25,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,14
19,121882,246008,704,54,2,11.97,36,0.34,1,1,0,2.01841125,4.5,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,37
21,115287,184221,584,2,2,19.8,48,0.51,0,0,1,1.597933852,0.166666667,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,21
52,119009,102875,786,108,4,15.76,24,0.52,0,0,0,0.864430421,9.0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,8
20,27366,141353,474,82,3,6.38,60,0.21,1,1,0,5.165278082,6.833333333,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,42
25,42184,201677,686,3,1,6.75,36,0.46,1,0,0,4.780888489,0.25,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,9
31,106513,53865,735,106,2,5.48,12,0.57,1,1,1,0.505712918,8.833333333,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,14
58,32034,245171,337,99,3,23.82,60,0.83,0,0,1,7.653461947,8.25,1,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,1,34
29,40143,106850,662,59,4,17.55,24,0.43,0,0,1,2.6617343,4.916666667,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,21
68,27835,177084,565,46,3,12.58,36,0.83,1,1,1,6.361918448,3.833333333,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3
50,17944,249799,624,29,3,10.5,12,0.11,0,0,0,13.9210321,2.416666667,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,27
36,141901,60292,597,2,4,5.86,24,0.3,0,1,1,0.424887774,0.166666667,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,41
24,107378,77486,388,63,1,8.32,60,0.53,0,1,0,0.721618954,5.25,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,18
38,120530,168538,727,92,3,15.82,48,0.3,1,0,0,1.398307475,7.666666667,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,28
30,40229,142072,602,54,2,15.19,60,0.73,0,1,1,3.531581695,4.5,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,43
31,59724,207979,598,25,1,3.37,24,0.51,1,1,1,3.48233541,2.083333333,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,42
46,120276,89295,536,16,1,5.24,36,0.33,1,0,0,0.74241744,1.333333333,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,32
21,93465,177043,592,99,3,5.42,12,0.41,0,1,1,1.894217087,8.25,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,8
67,97291,39390,735,99,3,14.93,36,0.69,1,1,1,0.404867871,8.25,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,19
27,116612,203877,429,102,2,8.38,48,0.64,1,1,1,1.748336363,8.5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
18,77952,185862,392,53,3,24.23,60,0.74,0,0,1,2.384313424,4.416666667,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,1,44
61,89203,74086,656,3,1,20.25,12,0.27,0,0,1,0.830532605,0.25,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,48
49,82697,195290,529,89,2,20.12,24,0.46,0,0,0,2.36151251,7.416666667,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,1,10
32,23934,206847,602,66,1,3.54,36,0.23,0,1,0,8.642391577,5.5,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,16
34,147083,73467,607,67,1,8.2,36,0.66,0,1,1,0.499493483,5.583333333,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,9
31,86479,228895,513,54,4,15.03,12,0.4,0,0,1,2.646827554,4.5,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,12
28,64081,146408,395,97,3,12.49,36,0.87,1,0,1,2.284733384,8.083333333,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,17
56,42790,150522,373,8,3,7.73,24,0.58,1,0,0,3.517691049,0.666666667,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,18
65,66998,52159,640,55,4,19.61,24,0.53,0,1,1,0.778515777,4.583333333,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,49
18,62378,200122,788,18,4,16.36,60,0.1,0,1,1,3.208214435,1.5,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,47
29,128721,15927,368,52,3,23.29,48,0.7,1,0,0,0.123732724,4.333333333,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,46
45,95594,103684,402,1,3,14.73,48,0.19,1,1,1,1.084628742,0.083333333,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,32
57,142746,228138,736,96,3,23.25,12,0.64,0,0,0,1.598209407,8.0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,33
57,67961,184422,849,34,2,14.7,48,0.39,0,0,1,2.71364459,2.833333333,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6
51,70688,207749,395,98,4,15.28,24,0.65,0,1,1,2.938957107,8.166666667,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,3
53,109366,47009,534,78,3,9.2,24,0.55,1,0,0,0.42983194,6.5,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,18
32,139575,208259,460,24,3,11.89,12,0.38,0,0,1,1.492093856,2.0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,12
50,54746,38579,332,104,4,3.02,12,0.75,0,0,1,0.704690754,8.666666667,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
23,140933,246209,807,5,3,14.49,48,0.35,0,1,1,1.746993252,0.416666667,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,2
18,39936,114569,496,47,2,4.19,12,0.9,0,1,0,2.868815104,3.916666667,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,3
62,21745,179836,565,106,3,23.49,12,0.32,1,1,0,8.27022304,8.833333333,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,46
53,83335,200145,315,97,1,24.35,60,0.45,0,1,1,2.401691966,8.083333333,1,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,7
24,76060,169330,408,29,4,18.66,24,0.73,0,1,0,2.226268735,2.416666667,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,26
35,115352,19612,731,76,3,8.56,24,0.47,1,0,0,0.170018725,6.333333333,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,37
67,52416,98485,840,78,1,15.3,36,0.29,1,1,0,1.87891102,6.5,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,9
27,77637,56836,827,36,4,19.27,36,0.39,1,1,0,0.732073625,3.0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,33
44,47186,171324,736,42,1,6.49,24,0.34,1,1,0,3.630822702,3.5,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,43
35,29733,140904,739,83,4,15.03,36,0.44,1,1,1,4.738976894,6.916666667,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,27
48,31252,107532,317,46,3,17.0,24,0.26,1,1,0,3.440803789,3.833333333,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,27
28,129232,77300,630,38,4,21.24,36,0.24,0,1,1,0.598149065,3.166666667,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,1,45
53,59250,212545,571,22,2,13.68,60,0.61,1,0,1,3.587257384,1.833333333,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,8
65,37391,174503,592,107,2,19.09,12,0.44,1,0,1,4.666978685,8.916666667,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,15
25,76681,235968,703,95,2,15.49,36,0.39,0,1,0,3.077268163,7.916666667,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,19
26,43684,51825,494,28,4,16.34,36,0.32,0,1,1,1.186361139,2.333333333,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,37
49,124980,233469,522,68,2,13.16,48,0.6,0,0,1,1.868050888,5.666666667,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,3
37,19376,14917,334,59,1,12.14,48,0.47,0,1,1,0.769869942,4.916666667,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,27
24,63317,213322,652,85,1,2.96,12,0.79,1,0,1,3.369110981,7.083333333,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,9
38,98632,243226,807,97,1,23.96,48,0.69,0,0,0,2.465994809,8.083333333,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,45
47,115377,150945,697,26,2,9.75,48,0.41,0,1,1,1.308276346,2.166666667,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,11
45,101439,209649,741,86,2,17.76,48,0.8,0,0,1,2.066749475,7.166666667,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,33
18,75381,194232,540,40,2,9.42,24,0.77,1,0,0,2.576670514,3.333333333,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,32
38,84737,242103,317,86,4,20.73,60,0.17,0,0,0,2.857110825,7.166666667,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,29
31,36426,206992,311,43,4,21.23,48,0.15,1,1,0,5.682534453,3.583333333,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,46
66,18947,59197,627,57,1,21.61,36,0.43,0,1,1,3.124346862,4.75,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,25
67,19909,147142,608,55,3,24.4,24,0.69,0,0,0,7.390727812,4.583333333,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,39
47,149020,146081,605,29,4,10.24,48,0.8,1,1,1,0.980277815,2.416666667,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,43
62,125458,73324,360,3,1,7.18,60,0.78,1,0,0,0.584450573,0.25,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35
28,139970,134125,808,27,4,9.94,60,0.47,0,0,0,0.958241052,2.25,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,1,13
56,121422,147785,310,115,3,17.72,60,0.73,1,0,1,1.217118809,9.583333333,1,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,34
65,68988,216052,444,119,4,6.73,24,0.59,1,0,1,3.131733055,9.916666667,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,42
35,52427,138497,772,93,4,19.26,60,0.83,1,0,0,2.641711332,7.75,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,45
33,89406,122092,401,105,2,22.97,36,0.35,1,0,0,1.365590676,8.75,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,1,10
40,60516,19216,681,11,2,20.82,24,0.23,1,1,0,0.317535858,0.916666667,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,1,39
20,54595,126083,601,11,4,20.75,36,0.42,0,1,0,2.30942394,0.916666667,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,4
